Period,AE_Attend_Type1,AE_Attend_Type2,AE_Attend_Type3,AE_Total_Attend,AE_Admission_Type1 ,AE_Admission_Type2,AE_Admission_Type3,AE_Admission_Total,Other_Emergency_Admissions,Total Emergency Admissions,4to12hrs_Admission,More12hrAdmission
Jul-19," 1,415,918 "," 52,418 "," 796,714 "," 2,265,050 "," 408,752 "," 1,840 "," 5,101 "," 415,693 "," 138,376 "," 554,069 "," 58,532 ", 452 
Aug-19," 1,324,070 "," 48,786 "," 752,579 "," 2,125,435 "," 393,710 "," 1,366 "," 4,877 "," 399,953 "," 129,278 "," 529,231 "," 56,498 ", 371 
Sep-19," 1,342,510 "," 48,217 "," 732,618 "," 2,123,345 "," 391,228 "," 1,363 "," 7,133 "," 399,724 "," 130,179 "," 529,903 "," 64,924 ", 458 
Oct-19," 1,376,347 "," 50,391 "," 744,147 "," 2,170,885 "," 412,649 "," 1,810 "," 6,647 "," 421,106 "," 142,027 "," 563,133 "," 80,091 ", 725 
Nov-19," 1,366,383 "," 47,179 "," 729,943 "," 2,143,505 "," 408,116 "," 1,736 "," 6,607 "," 416,459 "," 143,097 "," 559,556 "," 88,922 "," 1,111 "
Dec-19," 1,373,654 "," 43,458 "," 763,425 "," 2,180,537 "," 416,017 "," 3,570 "," 5,047 "," 424,634 "," 136,161 "," 560,795 "," 98,461 "," 2,356 "
Jan-20," 1,327,234 "," 49,597 "," 737,878 "," 2,114,709 "," 408,501 "," 1,729 "," 6,311 "," 416,541 "," 142,517 "," 559,058 "," 100,579 "," 2,847 "
Feb-20," 1,237,255 "," 45,124 "," 687,312 "," 1,969,691 "," 374,612 "," 3,231 "," 4,434 "," 382,277 "," 128,534 "," 510,811 "," 78,646 "," 1,621 "
Mar-20," 1,013,021 "," 32,747 "," 486,033 "," 1,531,801 "," 319,392 "," 1,394 "," 5,047 "," 325,833 "," 102,135 "," 427,968 "," 51,790 "," 1,174 "
Apr-20," 689,720 "," 19,726 "," 207,129 "," 916,575 "," 252,680 ", 960 ," 4,288 "," 257,928 "," 68,653 "," 326,581 "," 15,720 ", 251 
May-20," 924,218 "," 26,479 "," 311,140 "," 1,261,837 "," 308,798 "," 1,165 "," 2,756 "," 312,719 "," 85,687 "," 398,406 "," 13,457 ", 93 
Jun-20," 1,016,132 "," 30,894 "," 363,576 "," 1,410,602 "," 332,910 "," 1,344 "," 3,455 "," 337,709 "," 99,892 "," 437,601 "," 17,881 ", 159 
Jul-20," 1,120,421 "," 32,759 "," 435,106 "," 1,588,286 "," 358,671 "," 1,340 "," 3,372 "," 363,383 "," 109,843 "," 473,226 "," 21,025 ", 271 
Aug-20," 1,179,019 "," 32,231 "," 507,753 "," 1,719,003 "," 365,503 "," 1,217 "," 3,488 "," 370,208 "," 104,017 "," 474,225 "," 32,159 ", 335 
Sep-20," 1,163,948 "," 33,295 "," 496,637 "," 1,693,880 "," 365,705 "," 1,208 "," 3,682 "," 370,595 "," 109,260 "," 479,855 "," 44,996 ", 346 
Oct-20," 1,111,958 "," 33,012 "," 454,377 "," 1,599,347 "," 367,175 "," 1,270 "," 3,514 "," 371,959 "," 109,887 "," 481,846 "," 66,794 "," 1,268 "
Nov-20," 1,036,350 "," 31,872 "," 416,954 "," 1,485,176 "," 343,989 "," 1,155 "," 3,533 "," 348,677 "," 105,239 "," 453,916 "," 71,041 "," 2,148 "
Dec-20," 1,039,474 "," 29,838 "," 405,362 "," 1,474,674 "," 351,824 "," 1,146 "," 3,535 "," 356,505 "," 103,755 "," 460,260 "," 89,927 "," 3,745 "
Jan-21," 941,194 "," 25,744 "," 343,868 "," 1,310,806 "," 343,534 "," 1,085 "," 3,426 "," 348,045 "," 97,555 "," 445,600 "," 95,695 "," 3,825 "
Feb-21," 903,771 "," 27,972 "," 346,348 "," 1,278,091 "," 318,460 "," 1,101 "," 3,485 "," 323,046 "," 99,378 "," 422,424 "," 57,152 "," 1,021 "
Mar-21," 1,161,079 "," 35,656 "," 494,547 "," 1,691,282 "," 375,926 "," 1,391 "," 5,605 "," 382,922 "," 121,004 "," 503,926 "," 50,972 ", 688 
Apr-21," 1,259,266 "," 35,363 "," 571,603 "," 1,866,232 "," 385,748 "," 1,261 "," 5,267 "," 392,276 "," 117,986 "," 510,262 "," 48,719 ", 526 
May-21," 1,396,116 "," 38,747 "," 640,679 "," 2,075,542 "," 411,470 "," 1,403 "," 5,593 "," 418,466 "," 125,499 "," 543,965 "," 57,308 ", 695 
Jun-21," 1,436,111 "," 39,162 "," 681,859 "," 2,157,132 "," 401,052 "," 1,444 "," 5,423 "," 407,919 "," 127,483 "," 535,402 "," 66,621 "," 1,289 "
Jul-21," 1,430,733 "," 39,313 "," 690,082 "," 2,160,128 "," 402,085 "," 1,323 "," 7,160 "," 410,568 "," 122,144 "," 532,712 "," 89,762 "," 2,208 "
Aug-21," 1,341,757 "," 39,864 "," 654,346 "," 2,035,967 "," 381,911 "," 1,325 "," 5,555 "," 388,791 "," 115,095 "," 503,886 "," 96,008 "," 2,787 "
Sep-21," 1,392,405 "," 40,503 "," 694,296 "," 2,127,204 "," 379,118 "," 1,296 "," 5,309 "," 385,723 "," 121,363 "," 507,086 "," 104,873 "," 5,024 "
Oct-21," 1,419,010 "," 39,701 "," 706,091 "," 2,164,802 "," 389,169 "," 1,176 "," 5,363 "," 395,708 "," 121,475 "," 517,183 "," 121,250 "," 7,058 "
Nov-21," 1,336,830 "," 39,025 "," 662,100 "," 2,037,955 "," 374,964 "," 1,246 "," 5,298 "," 381,508 "," 124,734 "," 506,242 "," 120,744 "," 10,646 "
Dec-21," 1,250,568 "," 34,913 "," 589,161 "," 1,874,642 "," 370,950 "," 1,881 "," 7,133 "," 379,964 "," 119,091 "," 499,055 "," 120,131 "," 12,859 "
Jan-22," 1,247,417 "," 36,557 "," 591,228 "," 1,875,202 "," 358,968 "," 1,204 "," 5,320 "," 365,492 "," 119,460 "," 484,952 "," 122,433 "," 16,564 "
Feb-22," 1,205,820 "," 37,970 "," 581,573 "," 1,825,363 "," 334,835 "," 1,087 "," 5,275 "," 341,197 "," 118,755 "," 459,952 "," 114,908 "," 16,402 "
Mar-22," 1,421,526 "," 41,910 "," 711,362 "," 2,174,798 "," 374,562 "," 1,258 "," 5,728 "," 381,548 "," 132,707 "," 514,255 "," 136,298 "," 22,506 "
Apr-22," 1,313,430 "," 37,898 "," 676,900 "," 2,028,228 "," 353,015 ", 437 ," 6,558 "," 360,010 "," 119,895 "," 479,905 "," 131,905 "," 24,138 "
May-22," 1,402,053 "," 41,874 "," 745,083 "," 2,189,010 "," 369,021 ", 476 ," 6,674 "," 376,171 "," 130,522 "," 506,693 "," 122,768 "," 19,053 "
Jun-22," 1,395,224 "," 40,910 "," 747,536 "," 2,183,670 "," 364,641 ", 444 ," 6,948 "," 372,033 "," 128,208 "," 500,241 "," 130,109 "," 22,034 "
Jul-22," 1,385,080 "," 39,081 "," 739,618 "," 2,163,779 "," 358,824 "," 1,198 "," 6,132 "," 366,154 "," 126,750 "," 492,904 "," 136,221 "," 29,317 "
Aug-22," 1,304,378 "," 40,905 "," 643,496 "," 1,988,779 "," 350,618 "," 1,307 "," 5,216 "," 357,141 "," 124,941 "," 482,082 "," 130,528 "," 28,756 "
Sep-22," 1,302,577 "," 40,188 "," 657,728 "," 2,000,493 "," 353,833 "," 1,325 "," 5,631 "," 360,789 "," 126,734 "," 487,523 "," 131,861 "," 32,776 "
